,Asthma,Carcinogenic,Cardiovascular.toxicity,Cytotoxic,Deregulation.of.cellular.metabolism,Endocrine.deregulation.disruption,Environmental.hazard,Genotoxic,Hepatotoxic,Immunotoxic,Intestinal.toxicity,Lung.fibrosis,Nephrotoxic,Neurotoxic,Reproductive.toxicity,Skin.irritation,Skin.sensitizatioin,global,0,1
99,0.04400000000000004,0.891,0.127,0.714,0.654,0.08699999999999997,0.22499999999999998,0.716,0.483,0.253,0.16700000000000004,0.16600000000000004,0.241,0.508,0.251,0.017000000000000015,0.019000000000000017,0.7708404499131281,100_rTiO2 (HY),TiO2_particles
100,0.03400000000000003,0.846,0.12,0.737,0.633,0.09399999999999997,0.22999999999999998,0.719,0.363,0.25,0.17700000000000005,0.17100000000000004,0.242,0.512,0.251,0.019000000000000017,0.019000000000000017,0.7704472324630997,101_rTiO2 (HP),TiO2_particles
101,0.03300000000000003,0.831,0.119,0.72,0.627,0.09299999999999997,0.239,0.708,0.354,0.236,0.15600000000000003,0.17400000000000004,0.236,0.5,0.23099999999999998,0.015000000000000013,0.015000000000000013,0.7232912125082703,102_TiO2,TiO2_particles
102,0.07099999999999995,0.959,0.136,0.618,0.653,0.09699999999999998,0.477,0.807,0.494,0.484,0.239,0.247,0.15400000000000003,0.764,0.249,0.03500000000000003,0.016000000000000014,0.7191492267199107,103_TiO2r_core,TiO2_rods_fibers
103,0.061000000000000054,0.943,0.21499999999999997,0.721,0.655,0.14900000000000002,0.488,0.92,0.501,0.717,0.364,0.254,0.356,0.783,0.247,0.050000000000000044,0.02200000000000002,0.7863388192486597,104_TiO2r_NH2,TiO2_rods_fibers
104,0.06599999999999995,0.945,0.132,0.609,0.665,0.08199999999999996,0.495,0.706,0.499,0.361,0.356,0.256,0.356,0.648,0.252,0.06000000000000005,0.020000000000000018,0.785955693270709,105_TiO2r_COOH,TiO2_rods_fibers
105,0.04300000000000004,0.943,0.07799999999999996,0.498,0.636,0.051000000000000045,0.476,0.7,0.248,0.348,0.345,0.17600000000000005,0.23099999999999998,0.508,0.23199999999999998,0.03700000000000003,0.010000000000000009,0.586023533845449,106_TiO2r_PEG,TiO2_rods_fibers
106,0.274,0.935,0.34099999999999997,0.501,0.387,0.08199999999999996,0.75,0.889,0.384,0.728,0.363,0.824,0.23099999999999998,0.645,0.249,0.17200000000000004,0.05500000000000005,0.9212060939442288,107_TiO2-NB,TiO2_rods_fibers
107,0.263,0.946,0.131,0.728,0.655,0.09099999999999997,0.492,0.707,0.355,0.485,0.358,0.611,0.22499999999999998,0.66,0.248,0.04600000000000004,0.01200000000000001,0.7645973298284743,108_TiO2-30,TiO2_rods_fibers
108,0.275,0.938,0.124,0.728,0.658,0.09299999999999997,0.492,0.717,0.365,0.471,0.348,0.614,0.23099999999999998,0.66,0.22899999999999998,0.049000000000000044,0.018000000000000016,0.8695714475066811,109_TiO2-100,TiO2_rods_fibers
9,0.019000000000000017,0.11699999999999999,0.122,0.962,0.879,0.33199999999999996,0.987,0.479,0.932,0.821,0.638,0.123,0.646,0.762,0.655,0.5,0.374,0.9172897730861699,10_Ag-10 cit,Silver
109,0.14900000000000002,0.16600000000000004,0.623,0.996,0.962,0.508,0.944,0.853,0.831,0.812,0.879,0.483,0.858,0.837,0.838,0.09599999999999997,0.025000000000000022,0.7707544549091443,110_ZnO-1,ZnO
110,0.14900000000000002,0.14900000000000002,0.613,0.985,0.905,0.486,0.943,0.798,0.479,0.806,0.885,0.33699999999999997,0.621,0.828,0.831,0.07999999999999996,0.028000000000000025,0.7564015569271626,111_ZnO-2,ZnO
111,0.137,0.16500000000000004,0.625,0.981,0.906,0.358,0.927,0.721,0.505,0.809,0.832,0.359,0.644,0.841,0.659,0.08699999999999997,0.028000000000000025,0.7839481776004081,112_ZnO-3,ZnO
112,0.14400000000000002,0.16100000000000003,0.638,0.978,0.91,0.349,0.928,0.62,0.503,0.736,0.846,0.345,0.663,0.835,0.644,0.07399999999999995,0.026000000000000023,0.7488008141517639,113_ZnO-4,ZnO
113,0.14300000000000002,0.16100000000000003,0.621,0.979,0.93,0.33099999999999996,0.931,0.725,0.628,0.811,0.86,0.352,0.737,0.841,0.769,0.08099999999999996,0.02400000000000002,0.7410042729374167,114_ZnO-5,ZnO
114,0.14200000000000002,0.16500000000000004,0.616,0.98,0.895,0.519,0.922,0.71,0.484,0.717,0.836,0.355,0.623,0.764,0.769,0.07499999999999996,0.027000000000000024,0.7527528432336775,115_ZnO-9,ZnO
115,0.09099999999999997,0.15300000000000002,0.255,0.995,0.967,0.22699999999999998,0.928,0.781,0.844,0.361,0.845,0.492,0.895,0.654,0.773,0.07499999999999996,0.028000000000000025,0.7536208211361348,116_Zinc oxide uncoated,ZnO
116,0.17900000000000005,0.16000000000000003,0.24,0.994,0.974,0.247,0.924,0.795,0.832,0.489,0.844,0.485,0.906,0.65,0.761,0.07699999999999996,0.028000000000000025,0.7332542729568673,117_Zinc oxide uncoated,ZnO
117,0.15000000000000002,0.16300000000000003,0.383,0.977,0.858,0.14800000000000002,0.929,0.633,0.503,0.355,0.837,0.345,0.631,0.521,0.653,0.09399999999999997,0.02400000000000002,0.7746535956978917,118_Zinc oxide coated,ZnO
118,0.138,0.15800000000000003,0.381,0.964,0.849,0.14100000000000001,0.929,0.622,0.498,0.33599999999999997,0.83,0.353,0.644,0.502,0.653,0.08299999999999996,0.02400000000000002,0.7912372829200508,119_Zinc oxide coated,ZnO
10,0.05800000000000005,0.129,0.134,0.901,0.807,0.355,0.968,0.493,0.741,0.834,0.397,0.052000000000000046,0.658,0.758,0.659,0.10899999999999999,0.16200000000000003,0.8525185087869117,11_Ag-10 PVP,Silver
119,0.33799999999999997,0.781,0.788,0.357,0.36,0.505,0.659,0.494,0.679,0.352,0.517,0.36,0.817,0.698,0.535,0.369,0.349,0.9779638376262214,120_WC,WC
120,0.664,0.763,0.788,0.861,0.667,0.503,0.661,0.503,0.826,0.66,0.807,0.657,0.91,0.672,0.8,0.346,0.365,0.9800244368113078,121_WC-Co,WC
121,0.051000000000000045,0.10599999999999998,0.04700000000000004,0.08399999999999996,0.277,0.050000000000000044,0.013000000000000012,0.06799999999999995,0.10399999999999998,0.118,0.026000000000000023,0.11299999999999999,0.05800000000000005,0.09899999999999998,0.09399999999999997,0.018000000000000016,0.019000000000000017,0.015356587797191429,122_HANP,Hydroxyapatite
122,0.016000000000000014,0.01100000000000001,0.026000000000000023,0.01100000000000001,0.02200000000000002,0.019000000000000017,0.04300000000000004,0.014000000000000012,0.01200000000000001,0.15600000000000003,0.015000000000000013,0.010000000000000009,0.009000000000000008,0.020000000000000018,0.03200000000000003,0.019000000000000017,0.015000000000000013,0.015149754327566925,123_NP210-PFCE,Polymers
123,0.05500000000000005,0.040000000000000036,0.09399999999999997,0.14200000000000002,0.20399999999999996,0.09699999999999998,0.379,0.08299999999999996,0.041000000000000036,0.377,0.16100000000000003,0.02300000000000002,0.05900000000000005,0.06799999999999995,0.255,0.15100000000000002,0.16500000000000004,0.017903262765980185,124_PS,Polymers
124,0.016000000000000014,0.017000000000000015,0.027000000000000024,0.008000000000000007,0.02200000000000002,0.028000000000000025,0.03300000000000003,0.013000000000000012,0.01200000000000001,0.06499999999999995,0.018000000000000016,0.0050000000000000044,0.015000000000000013,0.02400000000000002,0.041000000000000036,0.017000000000000015,0.026000000000000023,0.01652183236789931,125_Eudragit,Polymers
125,0.02100000000000002,0.03400000000000003,0.025000000000000022,0.01100000000000001,0.02400000000000002,0.02100000000000002,0.03300000000000003,0.03200000000000003,0.01100000000000001,0.05600000000000005,0.020000000000000018,0.01100000000000001,0.018000000000000016,0.020000000000000018,0.027000000000000024,0.017000000000000015,0.019000000000000017,0.015294468294118391,126_Eudragit,Polymers
126,0.882,0.886,0.916,0.893,0.834,0.5,0.942,0.879,0.235,0.909,0.671,0.615,0.358,0.672,0.658,0.241,0.508,0.9717635923140758,127_UFP,Mixed_PM
127,0.964,0.877,0.768,0.729,0.626,0.491,0.946,0.88,0.25,0.909,0.674,0.834,0.361,0.655,0.649,0.24,0.5,0.9726657418159392,128_PM fine,Mixed_PM
128,0.963,0.882,0.743,0.896,0.845,0.51,0.944,0.876,0.243,0.905,0.669,0.872,0.37,0.643,0.655,0.253,0.504,0.9715173482536911,129_PM ultrafine,Mixed_PM
11,0.030000000000000027,0.123,0.139,0.95,0.881,0.349,0.992,0.491,0.932,0.823,0.625,0.128,0.64,0.757,0.649,0.26,0.15600000000000003,0.8531020953281744,12_Ag-75 cit,Silver
129,0.955,0.888,0.748,0.719,0.645,0.502,0.933,0.875,0.25,0.924,0.659,0.834,0.353,0.657,0.639,0.22899999999999998,0.515,0.9733918702399528,130_PM coarse,Mixed_PM
130,0.892,0.968,0.921,0.934,0.899,0.487,0.949,0.919,0.523,0.991,0.497,0.992,0.356,0.672,0.664,0.637,0.856,0.9819964370928012,131_LFA,Asbestos
131,0.896,0.978,0.909,0.926,0.851,0.5,0.965,0.874,0.527,0.977,0.361,0.993,0.346,0.652,0.654,0.496,0.777,0.9761255899886111,132_SFA,Asbestos
132,0.93,0.98,0.912,0.943,0.932,0.33999999999999997,0.809,0.902,0.524,0.969,0.33999999999999997,0.996,0.358,0.665,0.246,0.23399999999999999,0.507,0.9241106887837429,133_Asbestos,Asbestos
133,0.89,0.96,0.903,0.791,0.746,0.355,0.82,0.855,0.534,0.952,0.33299999999999996,0.996,0.361,0.669,0.239,0.247,0.49,0.9393054889487075,134_crocidolite,Asbestos
12,0.030000000000000027,0.135,0.14100000000000001,0.845,0.724,0.344,0.969,0.48,0.755,0.762,0.386,0.04600000000000004,0.654,0.773,0.649,0.10299999999999998,0.15900000000000003,0.7633553848968254,13_Ag-75 PVP,Silver
13,0.030000000000000027,0.14100000000000001,0.131,0.962,0.883,0.33199999999999996,0.99,0.479,0.931,0.817,0.631,0.131,0.661,0.758,0.648,0.27,0.15700000000000003,0.8271643790874156,14_Ag-cit,Silver
14,0.02300000000000002,0.237,0.125,0.702,0.725,0.36,0.974,0.625,0.752,0.638,0.381,0.08299999999999996,0.663,0.746,0.642,0.10199999999999998,0.16900000000000004,0.8337469743536757,15_Ag-PEG,Silver
15,0.027000000000000024,0.137,0.20299999999999996,0.905,0.891,0.33099999999999996,0.983,0.637,0.886,0.817,0.638,0.07299999999999995,0.666,0.764,0.639,0.353,0.365,0.933066483642962,16_Ag-bPEI,Silver
16,0.028000000000000025,0.656,0.20999999999999996,0.982,0.885,0.33999999999999997,0.99,0.909,0.929,0.93,0.745,0.19099999999999995,0.646,0.916,0.648,0.495,0.63,0.9536125480651378,17_Ag_NR3+,Silver
17,0.029000000000000026,0.32199999999999995,0.351,0.959,0.869,0.31999999999999995,0.986,0.836,0.924,0.87,0.74,0.19099999999999995,0.63,0.91,0.643,0.487,0.644,0.9496276236630536,18_Ag_COOH,Silver
18,0.031000000000000028,0.497,0.132,0.958,0.966,0.346,0.99,0.82,0.959,0.809,0.91,0.18500000000000005,0.652,0.912,0.642,0.486,0.377,0.8549850373654753,19_Ag_PEG,Silver
0,0.027000000000000024,0.22999999999999998,0.362,0.973,0.975,0.511,0.994,0.637,0.952,0.873,0.828,0.30100000000000005,0.768,0.953,0.918,0.513,0.375,0.9600985804358283,1_AgPURE,Silver
19,0.026000000000000023,0.34099999999999997,0.14600000000000002,0.785,0.654,0.22299999999999998,0.984,0.498,0.742,0.734,0.358,0.14500000000000002,0.644,0.652,0.354,0.256,0.38,0.9271894265581537,20_Ag2S,Silver
20,0.03600000000000003,0.512,0.13,0.629,0.52,0.25,0.953,0.498,0.65,0.727,0.241,0.07399999999999995,0.512,0.497,0.356,0.262,0.385,0.9323788790015487,21_Li-doped Ag2S,Silver
21,0.028000000000000025,0.04500000000000004,0.14100000000000001,0.32899999999999996,0.42100000000000004,0.05700000000000005,0.03300000000000003,0.379,0.07199999999999995,0.28400000000000003,0.04600000000000004,0.05900000000000005,0.08199999999999996,0.137,0.11599999999999999,0.11599999999999999,0.038000000000000034,0.015764062353459386,22_Au-5,Gold
22,0.029000000000000026,0.052000000000000046,0.08899999999999997,0.10699999999999998,0.020000000000000018,0.04700000000000004,0.031000000000000028,0.11499999999999999,0.016000000000000014,0.118,0.01100000000000001,0.05500000000000005,0.08599999999999997,0.08099999999999996,0.10499999999999998,0.026000000000000023,0.031000000000000028,0.014590240460837539,23_Au-30,Gold
23,0.05700000000000005,0.04700000000000004,0.15600000000000003,0.061000000000000054,0.019000000000000017,0.05300000000000005,0.04300000000000004,0.11399999999999999,0.03400000000000003,0.11499999999999999,0.02100000000000002,0.05800000000000005,0.08099999999999996,0.09299999999999997,0.06299999999999994,0.03500000000000003,0.030000000000000027,0.016741661596027482,24_GNPs,Gold
24,0.16500000000000004,0.23299999999999998,0.654,0.938,0.732,0.18000000000000005,0.249,0.933,0.654,0.805,0.28800000000000003,0.05700000000000005,0.494,0.645,0.638,0.17300000000000004,0.15500000000000003,0.3114167275783551,25_Au5_NR3+,Gold
25,0.07599999999999996,0.08899999999999997,0.15000000000000002,0.30800000000000005,0.12,0.049000000000000044,0.03700000000000003,0.266,0.07899999999999996,0.269,0.038000000000000034,0.049000000000000044,0.08199999999999996,0.16100000000000003,0.06000000000000005,0.10099999999999998,0.03300000000000003,0.016970883453756903,26_Au5_COOH,Gold
26,0.028000000000000025,0.08799999999999997,0.05400000000000005,0.16900000000000004,0.19799999999999995,0.03300000000000003,0.03600000000000003,0.18799999999999994,0.07199999999999995,0.20899999999999996,0.041000000000000036,0.04700000000000004,0.07699999999999996,0.04500000000000004,0.05900000000000005,0.16000000000000003,0.04600000000000004,0.016571955536739673,27_Au5_PEG,Gold
27,0.18999999999999995,0.236,0.251,0.717,0.262,0.248,0.266,0.633,0.396,0.511,0.261,0.052000000000000046,0.637,0.648,0.67,0.04800000000000004,0.14,0.08284914679335872,28_Au20_NR3+,Gold
28,0.041000000000000036,0.050000000000000044,0.04500000000000004,0.08099999999999996,0.01100000000000001,0.039000000000000035,0.02200000000000002,0.07099999999999995,0.019000000000000017,0.07599999999999996,0.013000000000000012,0.03400000000000003,0.04800000000000004,0.10199999999999998,0.03500000000000003,0.020000000000000018,0.02200000000000002,0.014432406170445061,29_Au20_COOH,Gold
1,0.07399999999999995,0.23399999999999999,0.347,0.956,0.95,0.504,0.985,0.642,0.979,0.874,0.816,0.28300000000000003,0.919,0.823,0.766,0.738,0.378,0.9585684485979624,2_BioPure Ag-20,Silver
29,0.019000000000000017,0.05900000000000005,0.05900000000000005,0.03300000000000003,0.006000000000000005,0.027000000000000024,0.025000000000000022,0.03400000000000003,0.02200000000000002,0.15600000000000003,0.010000000000000009,0.02300000000000002,0.04400000000000004,0.03600000000000003,0.04600000000000004,0.029000000000000026,0.03600000000000003,0.014380473207475498,30_Au20_PEG,Gold
30,0.06499999999999995,0.061000000000000054,0.15800000000000003,0.03400000000000003,0.07499999999999996,0.05400000000000005,0.04600000000000004,0.242,0.02400000000000002,0.126,0.015000000000000013,0.09699999999999998,0.07999999999999996,0.17900000000000005,0.061000000000000054,0.03300000000000003,0.038000000000000034,0.01272059213993389,31_GNPs,Gold
31,0.654,0.841,0.757,0.887,0.891,0.367,0.11599999999999999,0.963,0.516,0.831,0.15300000000000002,0.971,0.353,0.817,0.635,0.08899999999999997,0.09699999999999998,0.8975616534491321,32_Baytube,Carbon_nanotubes
32,0.64,0.841,0.772,0.618,0.749,0.365,0.11499999999999999,0.743,0.51,0.76,0.14400000000000002,0.391,0.385,0.798,0.636,0.08599999999999997,0.09399999999999997,0.8907476371532684,33_NM-403,Carbon_nanotubes
33,0.64,0.846,0.773,0.924,0.923,0.365,0.10299999999999998,0.886,0.532,0.887,0.15000000000000002,0.824,0.355,0.807,0.638,0.07299999999999995,0.08599999999999997,0.8941561861319824,34_CNTSmall (NRCWE-026),Carbon_nanotubes
34,0.649,0.952,0.912,0.971,0.957,0.349,0.259,0.923,0.531,0.825,0.15800000000000003,0.82,0.357,0.808,0.844,0.08499999999999996,0.08399999999999996,0.9310918917527069,35_MWCNT_NH2,Carbon_nanotubes
35,0.651,0.939,0.912,0.866,0.745,0.365,0.255,0.823,0.504,0.639,0.14300000000000002,0.821,0.353,0.804,0.828,0.07799999999999996,0.08399999999999996,0.9434390143529551,36_MWCNT_COOH,Carbon_nanotubes
36,0.661,0.931,0.911,0.862,0.754,0.369,0.256,0.819,0.506,0.644,0.15600000000000003,0.732,0.373,0.807,0.83,0.08699999999999997,0.08999999999999997,0.942036360502243,37_MWCNT_PEG,Carbon_nanotubes
37,0.633,0.931,0.756,0.75,0.774,0.365,0.11399999999999999,0.831,0.525,0.649,0.14100000000000001,0.831,0.34099999999999997,0.814,0.634,0.08499999999999996,0.08599999999999997,0.8962272185463089,38_SES_MW,Carbon_nanotubes
38,0.835,0.962,0.924,0.969,0.849,0.359,0.259,0.962,0.512,0.933,0.15800000000000003,0.959,0.33799999999999997,0.812,0.848,0.08999999999999997,0.09399999999999997,0.9507436186403364,39_CNTLarge  (NM-401),Carbon_nanotubes
2,0.07699999999999996,0.251,0.20599999999999996,0.944,0.92,0.33999999999999997,0.986,0.628,0.98,0.874,0.742,0.28800000000000003,0.902,0.745,0.64,0.744,0.38,0.9581653169683508,3_BioPure Ag-20,Silver
